		
'2920489114'	'751190422584750080'	'perfect woman ! @oliviaculpo\r\n'
'6054912'	'761422891430711301'	'good god\r\n'
'19983221'	'765498296987246592'	'Landmarks and brands drop letters A, B and O to highlight need for blood donors #MissingType\r\n'
'565389678'	'315511203411685376'	'New Orleans!\r\n'
'108658331'	'760132536081285120'	'Calling all cool dads! Check out the Soap Box Derby on August 13 at O4W Park.\r\n'
'150347056'	'741314179366326272'	'Playing 9 in honor of #9 #MrHockey #GordieHowe\r\n'
'3044971245'	'706238134854541312'	'Creepy SUV leaving.\r\n'
'16309025'	'757883142510436352'	In Yemen today many people don't get the food, water and other aid they desperately need\r\n
'428938961'	'764517632066326529'	'Johnny Rotten & Sid Vicious, USA Tour, 1978\r\n'
'44534947'	'501362004813418496'	'To whoever painted our cars last night, we look good driving to class this morning. #thankyou #seniors #dawgsontop\r\n'
'2751223204'	'597013144968507392'	'Ready to run the #Shoneys5K benefiting @MNPDNashville! #Shoneys #LetsRun\r\n'
'42311131'	'760678652761640960'	'Fully solar powered EV super car + fully solar powered super MP @ellensandell @TeslaMotors\r\n'
'129564041'	'469845862630170625'	'Triple J. Meet my new friends. LOL :)))\r\n'
'1261181221'	'757062771397623808'	'16 and 18 inch sports alloy wheels adds to both style and performance. #Mazda3 #SKYACTIV\r\n'
'417003912'	'765446405343379456'	'BREAKING:#DeKalb Police investigating murder suicide & mother-in-law shot while kids in a home. Live report at 4:30\r\n'
'461922813'	'748244512938536961'	'For me it is all about looking forward, not back. A new journey is starting. @volvocarsglobal #MadeBySweden\r\n'
'588782112'	'756564115829633024'	'Doors are about to open for the #SquareEnixExperience on Market St &  8th Ave #sdcc2016 @DeusEx @tombraider @FFXVEN\r\n'
'480003594'	'741765510052728832'	'Here at the North Beach Festival. Come by the Purity Organic booth come by for samples!\r\n'
'385895615'	'764387280723255296'	'Coming to enjoy @SummerInTheCity at the @ExCeLLondon today?  Why not enjoy a trip on the cable car.\r\n'
'6107422'	'762022941387321344'	'Machete-wielding attacker injures two Belgian policewomen\r\n'
'178726318'	'738446861187612673'	'Peguei sorte que no tem ningum do meu lado. Avio pequena demais!!\r\n'
'22763837'	'749204430860521472'	'Guess who out ate these two @ catered Set lunch yup me! @MattStonie @RutledgeWood #phillycheesesteak training\r\n'
'4301768955'	'731291549531799552'	'The smile when you know u made it.\r\n'
'3345807087'	'637403973406711808'	'When you have to go to practice straight after school\r\n'
'17784665'	'688525674383044608'	'The Green Slime at DSM. For Iowans,\r\n'
'145265146'	'763723687895982085'	'Wow! The Chinese are becoming legit competitors. This bike is affordable and looks great!\r\n'
'519564272'	'462541633309773824'	'2% car . 98% plane\r\n'
'2282502061'	'756746395114172416'	'Well,without the help of the helicopter I am on my way  to Chichester HR to deliver their new mag. I Need a coffee.\r\n'
'111682504'	'709080997552381954'	"'""Nick Roche is the best videographer in Bikini Bottom. And he does not suck eggs."" -@rdisangro\r\n'"
'203965293'	'635439590988455937'	'Runners having a post race massage from @Sports_PhysioUK #RochdaleRun\r\n'
'729864205109755904'	'745369765695361024'	'Beautiful day to make calls outside! #viewsfromthe603 #smashsouth #nhpolitics\r\n'
'318457607'	'475081026964692992'	'Madison police officer serve cake to newlyweds, their kids, and loved ones! #marriageequality Wisconsin\r\n'
'249792520'	'759373478877274112'	'God bless everyone have a great day\r\n'
'190359726'	'743816577766817792'	'Great time @David_Boreanaz thanks for having me @BONESonFOX episode on DVR while in Europe-see you soon bud #Bones\r\n'
'505238909'	'761818888493338624'	'Even a cool kid from 90210 likes to GoRVing @jenniegarth #winmyawayinla #ElMonteRV #BlogHer16\r\n'
'36991436'	'758003261228146688'	'Quality, innovation, and #sustainability make @hsbakery1 a great SAGE partner.\r\n'
'4874961563'	'764114552732745732'	'USDA helped finance the Pittsburg, Kan., Farmers Market pavilion.  Stop by tomorrow morning! @PittsburgKS\r\n'
'2180548910'	'742536742037794816'	Let's go back to summer camp  @cityofthesun\r\n
'15102664'	'760139869851095040'	'Casey telling ABC abt her experience with @CarolinaGirlsSC where she was called a shoplifter. #shoppingwhileblack\r\n'
'2342298386'	'758290257083269120'	'Congrats! @Northeastern receives global recognition in career services \r\n'
'27045720'	'709843708104069121'	Bussing to #Georgia's temporary off-campus site for spring football practice.\r\n
'14079041'	'762981270657781762'	'GrassyNarrows youth marched through Kenora for clean-water. Clean-up the mercury @Kathleen_Wynne cc @DavidSuzukiFDN\r\n'
'971148980'	'748355158455685121'	'Love Bailey \r\n'
'545481069'	'763575059101454336'	'#BreakingNews Pedestrian seriously injured. Hit by suspected impaired driver in #Brampton :\r\n'
'116968388'	'746194801016483840'	'All your office essentials in one chic package #Greenbelt #ILoveGreenbelt #AyalaMalls #Longchamp Photo by @longchamp\r\n'
'27967896'	'759208161903570945'	'Tickets on sale now for the @UACwasatch fundraiser party at BD Sept 15:\r\n'
'277434037'	'681440380705886208'	'Deeply touched by the kind sentiments & best wishes from well wishers. Thanks so much .\r\n'
'143543242'	'742889288350732288'	Wonderful celebration of @MountSinaiNYC Dr Valentin Fuster's contribution to global urban health @NYAMNYC gala\r\n
'24871714'	'618764870486462464'	'I dreamed of having a white fringe suede jacket and being Cindy Mancini. RIP Amanda Peterson #didnteverygirlinthe80s\r\n'
'41500257'	'413890921080840193'	'Shooting incident here at NAIA T3.\r\n'
'758091343176540160'	'760478614890708992'	THIS CRACKED ME UP OH GOD YOU'RE HILARIOUS ILYSM @GinaShkeda\r\n
'845533752'	'629421126611939328'	'Crazy heat in Austin, Texas.\r\n'
'136361303'	'762559262216294400'	'In Making America Great Again!, @davidcrosss out-crasses the most crass politician in the business.\r\n'
'29679737'	'761494259795124225'	'Sometimes the grass is greener on the #Audi TTS side!. Image: Alexander P?llinger Photography\r\n'
'29782648'	'585872680143851520'	'Hard to believe nearly 2 yrs ago I awoke in my Laurel St apt. in Watertown to the aftermath of #Tsarnaev shootout\r\n'
'1007239393'	'765568667769856000'	'Who has control of the footage?\r\n'
'5392522'	'764216369101565954'	'The Texas farmworker strike of 1966 was ike heading into\r\n'
'17446621'	'764598691508387840'	'#Rio016: @Lesdoggg is now live-tweeting track and field (where she found her first Pokemon)\r\n'
'23334401'	'755503253836689413'	'@GovernorDeal stops by the @GaRepublicans delegation on the convention floor. #RNCinCLE\r\n'
'466532860'	'748339993135878146'	'Supporters are outside Malacaang gate to welcome #PresidentDuterte #VPLeni @rapplerdotcom #RStream\r\n'
'162436508'	'764507881295187968'	'Love this photograph so much Walker Evans, photographer (American, 1903 - 1975) 6th Avenue / 42nd Street, 1929\r\n'
'25049056'	'764520163483881473'	'Man injures six in knife attack on Switzerland train\r\n'
'287529717'	'755765281109180416'	'They arrested one more of our people . #FundBlackFutures\r\n'
'1121801004'	'736169421312516096'	'@thelittleidiot coming up on @BTtoronto! #porcelain #booktour @PenguinCanada\r\n'
